PathToFasta	NumReps	QuantNoise	Enzyme	PropMissedCleavages	PercDetectedPep	PercDetectedVal	MSNoise	WrongIDs	FileName
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.01	0.1	0.25	0.125	0.01	../Output/UPS1-like_output/outputMSRun_9e4d2c99d0955e0ade11008abb9a8ef4.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.1	0.25	0.25	0.125	0.01	../Output/UPS1-like_output/outputMSRun_aece5ecbf3acec3e31f994d2c878c805.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.01	0.25	0.25	0.01	0.01	../Output/UPS1-like_output/outputMSRun_b159011395a1bb9802f881d98f452e19.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.01	trypsin	0.01	0.5	0.5	0.125	0.01	../Output/UPS1-like_output/outputMSRun_c4f3e84ce57012801daa82d1b21d6799.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.01	0.5	0.1	0.125	0.01	../Output/UPS1-like_output/outputMSRun_c9d0431bdfb5685b9a528fc542e443d5.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.01	0.5	0.25	0.125	0.01	../Output/UPS1-like_output/outputMSRun_d5b27d16c9d10822c676ba82640e7b47.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.01	0.25	0.25	0.25	0.01	../Output/UPS1-like_output/outputMSRun_da14b09d3b824fab9799f17ae8fa783e.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin.strict	0.01	0.5	0.5	0.125	0.01	../Output/UPS1-like_output/outputMSRun_e6abd8430a170b7f568d2466b580c687.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.01	trypsin	0.01	0.25	0.25	0.125	0.01	../Output/UPS1-like_output/outputMSRun_e9db8ae7d44fe20d69921997cde9ea7b.RData
QC_DataAnalysis/fasta_full_yeast.fasta	3	0.25	trypsin	0.01	0.5	0.5	0.125	0.05	../Output/UPS1-like_output/outputMSRun_f692c5374fb95f1cfcda33125af91bc1.RData
